[*] EdgeShield Sensor Simulator started
[+] iot/gateway/sensor-01/telemetry -> value=21.48 rssi=-92 fcnt=439
[+] iot/gateway/sensor-02/telemetry -> value=49.72 rssi=-65 fcnt=439
[+] iot/gateway/sensor-03/telemetry -> value=1012.76 rssi=-88 fcnt=439
[+] iot/gateway/sensor-01/telemetry -> value=22.17 rssi=-80 fcnt=440
[+] iot/gateway/sensor-02/telemetry -> value=56.73 rssi=-76 fcnt=440
[+] iot/gateway/sensor-03/telemetry -> value=1012.03 rssi=-87 fcnt=440
[+] iot/gateway/sensor-01/telemetry -> value=24.19 rssi=-79 fcnt=441
[+] iot/gateway/sensor-02/telemetry -> value=55.07 rssi=-80 fcnt=441
[+] iot/gateway/sensor-03/telemetry -> value=1014.64 rssi=-74 fcnt=441
[+] iot/gateway/sensor-01/telemetry -> value=24.02 rssi=-87 fcnt=442
[+] iot/gateway/sensor-02/telemetry -> value=56.61 rssi=-72 fcnt=442
[+] iot/gateway/sensor-03/telemetry -> value=1010.9 rssi=-93 fcnt=442
[+] iot/gateway/sensor-01/telemetry -> value=21.99 rssi=-93 fcnt=443
[+] iot/gateway/sensor-02/telemetry -> value=53.44 rssi=-63 fcnt=443
[+] iot/gateway/sensor-03/telemetry -> value=1012.91 rssi=-87 fcnt=443
[+] iot/gateway/sensor-01/telemetry -> value=23.57 rssi=-92 fcnt=444
[+] iot/gateway/sensor-02/telemetry -> value=53.62 rssi=-69 fcnt=444
[+] iot/gateway/sensor-03/telemetry -> value=1009.46 rssi=-95 fcnt=444
[+] iot/gateway/sensor-01/telemetry -> value=23.04 rssi=-62 fcnt=445
[+] iot/gateway/sensor-02/telemetry -> value=57.94 rssi=-62 fcnt=445
[+] iot/gateway/sensor-03/telemetry -> value=1014.84 rssi=-76 fcnt=445
[+] iot/gateway/sensor-01/telemetry -> value=22.04 rssi=-75 fcnt=446
[+] iot/gateway/sensor-02/telemetry -> value=56.72 rssi=-67 fcnt=446
[+] iot/gateway/sensor-03/telemetry -> value=1010.5 rssi=-72 fcnt=446
[+] iot/gateway/sensor-01/telemetry -> value=23.24 rssi=-69 fcnt=447
[+] iot/gateway/sensor-02/telemetry -> value=55.61 rssi=-60 fcnt=447
[+] iot/gateway/sensor-03/telemetry -> value=1012.8 rssi=-95 fcnt=447
[+] iot/gateway/sensor-01/telemetry -> value=20.46 rssi=-87 fcnt=448
[+] iot/gateway/sensor-02/telemetry -> value=51.3 rssi=-88 fcnt=448
[+] iot/gateway/sensor-03/telemetry -> value=1009.61 rssi=-71 fcnt=448
[+] iot/gateway/sensor-01/telemetry -> value=22.2 rssi=-86 fcnt=449
[+] iot/gateway/sensor-02/telemetry -> value=54.41 rssi=-86 fcnt=449
[+] iot/gateway/sensor-03/telemetry -> value=1011.2 rssi=-79 fcnt=449
[+] iot/gateway/sensor-01/telemetry -> value=22.04 rssi=-73 fcnt=450
[+] iot/gateway/sensor-02/telemetry -> value=51.72 rssi=-90 fcnt=450
[+] iot/gateway/sensor-03/telemetry -> value=1016.81 rssi=-69 fcnt=450
[+] iot/gateway/sensor-01/telemetry -> value=22.54 rssi=-74 fcnt=451
[+] iot/gateway/sensor-02/telemetry -> value=52.28 rssi=-83 fcnt=451
[+] iot/gateway/sensor-03/telemetry -> value=1014.65 rssi=-72 fcnt=451
[+] iot/gateway/sensor-01/telemetry -> value=20.75 rssi=-65 fcnt=452
[+] iot/gateway/sensor-02/telemetry -> value=54.94 rssi=-95 fcnt=452
[+] iot/gateway/sensor-03/telemetry -> value=1015.17 rssi=-92 fcnt=452
[+] iot/gateway/sensor-01/telemetry -> value=22.67 rssi=-68 fcnt=453
[+] iot/gateway/sensor-02/telemetry -> value=49.51 rssi=-72 fcnt=453
[+] iot/gateway/sensor-03/telemetry -> value=1012.0 rssi=-94 fcnt=453
[+] iot/gateway/sensor-01/telemetry -> value=21.11 rssi=-67 fcnt=454
[+] iot/gateway/sensor-02/telemetry -> value=53.6 rssi=-90 fcnt=454
[+] iot/gateway/sensor-03/telemetry -> value=1013.89 rssi=-79 fcnt=454
[+] iot/gateway/sensor-01/telemetry -> value=22.67 rssi=-93 fcnt=455
[+] iot/gateway/sensor-02/telemetry -> value=58.63 rssi=-63 fcnt=455
[+] iot/gateway/sensor-03/telemetry -> value=1010.58 rssi=-64 fcnt=455
[+] iot/gateway/sensor-01/telemetry -> value=23.52 rssi=-68 fcnt=456
[+] iot/gateway/sensor-02/telemetry -> value=53.56 rssi=-88 fcnt=456
[+] iot/gateway/sensor-03/telemetry -> value=1009.74 rssi=-80 fcnt=456
[+] iot/gateway/sensor-01/telemetry -> value=21.35 rssi=-87 fcnt=457
[+] iot/gateway/sensor-02/telemetry -> value=51.67 rssi=-75 fcnt=457
[+] iot/gateway/sensor-03/telemetry -> value=1012.12 rssi=-86 fcnt=457
[+] iot/gateway/sensor-01/telemetry -> value=22.57 rssi=-69 fcnt=458
[+] iot/gateway/sensor-02/telemetry -> value=60.27 rssi=-89 fcnt=458
[+] iot/gateway/sensor-03/telemetry -> value=1016.2 rssi=-90 fcnt=458
[+] iot/gateway/sensor-01/telemetry -> value=22.28 rssi=-69 fcnt=459
[+] iot/gateway/sensor-02/telemetry -> value=49.68 rssi=-63 fcnt=459
[+] iot/gateway/sensor-03/telemetry -> value=1011.92 rssi=-94 fcnt=459
[+] iot/gateway/sensor-01/telemetry -> value=23.27 rssi=-93 fcnt=460
[+] iot/gateway/sensor-02/telemetry -> value=56.81 rssi=-94 fcnt=460
[+] iot/gateway/sensor-03/telemetry -> value=1010.77 rssi=-62 fcnt=460
[+] iot/gateway/sensor-01/telemetry -> value=21.53 rssi=-89 fcnt=461
[+] iot/gateway/sensor-02/telemetry -> value=54.58 rssi=-84 fcnt=461
[+] iot/gateway/sensor-03/telemetry -> value=1012.07 rssi=-82 fcnt=461
[+] iot/gateway/sensor-01/telemetry -> value=22.78 rssi=-64 fcnt=462
[+] iot/gateway/sensor-02/telemetry -> value=57.49 rssi=-70 fcnt=462
[+] iot/gateway/sensor-03/telemetry -> value=1012.57 rssi=-82 fcnt=462
[+] iot/gateway/sensor-01/telemetry -> value=23.61 rssi=-75 fcnt=463
[+] iot/gateway/sensor-02/telemetry -> value=55.85 rssi=-88 fcnt=463
[+] iot/gateway/sensor-03/telemetry -> value=1009.16 rssi=-94 fcnt=463
[+] iot/gateway/sensor-01/telemetry -> value=22.57 rssi=-77 fcnt=464
[+] iot/gateway/sensor-02/telemetry -> value=52.14 rssi=-90 fcnt=464
[+] iot/gateway/sensor-03/telemetry -> value=1014.67 rssi=-80 fcnt=464
[+] iot/gateway/sensor-01/telemetry -> value=22.37 rssi=-93 fcnt=465
[+] iot/gateway/sensor-02/telemetry -> value=55.9 rssi=-80 fcnt=465
[+] iot/gateway/sensor-03/telemetry -> value=1011.64 rssi=-90 fcnt=465
[+] iot/gateway/sensor-01/telemetry -> value=23.65 rssi=-86 fcnt=466
[+] iot/gateway/sensor-02/telemetry -> value=56.35 rssi=-87 fcnt=466
[+] iot/gateway/sensor-03/telemetry -> value=1013.57 rssi=-94 fcnt=466
[+] iot/gateway/sensor-01/telemetry -> value=22.15 rssi=-66 fcnt=467
[+] iot/gateway/sensor-02/telemetry -> value=51.11 rssi=-94 fcnt=467
[+] iot/gateway/sensor-03/telemetry -> value=1011.45 rssi=-85 fcnt=467
[+] iot/gateway/sensor-01/telemetry -> value=21.25 rssi=-78 fcnt=468
[+] iot/gateway/sensor-02/telemetry -> value=53.15 rssi=-94 fcnt=468
[+] iot/gateway/sensor-03/telemetry -> value=1011.03 rssi=-83 fcnt=468
[+] iot/gateway/sensor-01/telemetry -> value=25.0 rssi=-62 fcnt=469
[+] iot/gateway/sensor-02/telemetry -> value=56.33 rssi=-66 fcnt=469
[+] iot/gateway/sensor-03/telemetry -> value=1011.17 rssi=-91 fcnt=469
[+] iot/gateway/sensor-01/telemetry -> value=23.71 rssi=-86 fcnt=470
[+] iot/gateway/sensor-02/telemetry -> value=57.95 rssi=-95 fcnt=470
[+] iot/gateway/sensor-03/telemetry -> value=1011.02 rssi=-67 fcnt=470
[+] iot/gateway/sensor-01/telemetry -> value=22.46 rssi=-70 fcnt=471
[+] iot/gateway/sensor-02/telemetry -> value=56.98 rssi=-63 fcnt=471
[+] iot/gateway/sensor-03/telemetry -> value=1014.21 rssi=-61 fcnt=471
[+] iot/gateway/sensor-01/telemetry -> value=22.83 rssi=-95 fcnt=472
[+] iot/gateway/sensor-02/telemetry -> value=49.97 rssi=-62 fcnt=472
[+] iot/gateway/sensor-03/telemetry -> value=1013.34 rssi=-68 fcnt=472
[+] iot/gateway/sensor-01/telemetry -> value=24.51 rssi=-86 fcnt=473
[+] iot/gateway/sensor-02/telemetry -> value=62.3 rssi=-66 fcnt=473
[+] iot/gateway/sensor-03/telemetry -> value=1013.6 rssi=-69 fcnt=473
[+] iot/gateway/sensor-01/telemetry -> value=19.52 rssi=-90 fcnt=474
[+] iot/gateway/sensor-02/telemetry -> value=52.19 rssi=-82 fcnt=474
[+] iot/gateway/sensor-03/telemetry -> value=1011.46 rssi=-76 fcnt=474
[+] iot/gateway/sensor-01/telemetry -> value=22.93 rssi=-94 fcnt=475
[+] iot/gateway/sensor-02/telemetry -> value=53.17 rssi=-83 fcnt=475
[+] iot/gateway/sensor-03/telemetry -> value=1009.75 rssi=-80 fcnt=475
[+] iot/gateway/sensor-01/telemetry -> value=21.73 rssi=-82 fcnt=476
[+] iot/gateway/sensor-02/telemetry -> value=59.54 rssi=-83 fcnt=476
[+] iot/gateway/sensor-03/telemetry -> value=1011.48 rssi=-80 fcnt=476
[+] iot/gateway/sensor-01/telemetry -> value=21.0 rssi=-69 fcnt=477
[+] iot/gateway/sensor-02/telemetry -> value=57.38 rssi=-74 fcnt=477
[+] iot/gateway/sensor-03/telemetry -> value=1012.37 rssi=-77 fcnt=477
[+] iot/gateway/sensor-01/telemetry -> value=24.25 rssi=-81 fcnt=478
[+] iot/gateway/sensor-02/telemetry -> value=51.59 rssi=-62 fcnt=478
[+] iot/gateway/sensor-03/telemetry -> value=1015.53 rssi=-83 fcnt=478
[+] iot/gateway/sensor-01/telemetry -> value=22.13 rssi=-64 fcnt=479
[+] iot/gateway/sensor-02/telemetry -> value=54.1 rssi=-75 fcnt=479
[+] iot/gateway/sensor-03/telemetry -> value=1012.35 rssi=-95 fcnt=479
[+] iot/gateway/sensor-01/telemetry -> value=21.76 rssi=-85 fcnt=480
[+] iot/gateway/sensor-02/telemetry -> value=59.11 rssi=-92 fcnt=480
[+] iot/gateway/sensor-03/telemetry -> value=1014.03 rssi=-61 fcnt=480
[+] iot/gateway/sensor-01/telemetry -> value=21.96 rssi=-86 fcnt=481
[+] iot/gateway/sensor-02/telemetry -> value=55.87 rssi=-69 fcnt=481
[+] iot/gateway/sensor-03/telemetry -> value=1012.14 rssi=-94 fcnt=481
[+] iot/gateway/sensor-01/telemetry -> value=23.4 rssi=-76 fcnt=482
[+] iot/gateway/sensor-02/telemetry -> value=54.4 rssi=-64 fcnt=482
[+] iot/gateway/sensor-03/telemetry -> value=1012.13 rssi=-78 fcnt=482
[+] iot/gateway/sensor-01/telemetry -> value=23.15 rssi=-88 fcnt=483
[+] iot/gateway/sensor-02/telemetry -> value=50.37 rssi=-66 fcnt=483
[+] iot/gateway/sensor-03/telemetry -> value=1013.8 rssi=-64 fcnt=483
[+] iot/gateway/sensor-01/telemetry -> value=22.0 rssi=-87 fcnt=484
[+] iot/gateway/sensor-02/telemetry -> value=53.02 rssi=-82 fcnt=484
[+] iot/gateway/sensor-03/telemetry -> value=1012.76 rssi=-66 fcnt=484
[+] iot/gateway/sensor-01/telemetry -> value=22.27 rssi=-92 fcnt=485
[+] iot/gateway/sensor-02/telemetry -> value=52.8 rssi=-74 fcnt=485
[+] iot/gateway/sensor-03/telemetry -> value=1014.47 rssi=-88 fcnt=485
[+] iot/gateway/sensor-01/telemetry -> value=23.29 rssi=-92 fcnt=486
[+] iot/gateway/sensor-02/telemetry -> value=49.94 rssi=-63 fcnt=486
[+] iot/gateway/sensor-03/telemetry -> value=1014.11 rssi=-91 fcnt=486
[+] iot/gateway/sensor-01/telemetry -> value=22.1 rssi=-80 fcnt=487
[+] iot/gateway/sensor-02/telemetry -> value=54.46 rssi=-91 fcnt=487
[+] iot/gateway/sensor-03/telemetry -> value=1011.81 rssi=-95 fcnt=487
[+] iot/gateway/sensor-01/telemetry -> value=21.74 rssi=-88 fcnt=488
[+] iot/gateway/sensor-02/telemetry -> value=57.33 rssi=-80 fcnt=488
[+] iot/gateway/sensor-03/telemetry -> value=1012.58 rssi=-78 fcnt=488
[+] iot/gateway/sensor-01/telemetry -> value=22.56 rssi=-81 fcnt=489
[+] iot/gateway/sensor-02/telemetry -> value=50.9 rssi=-82 fcnt=489
[+] iot/gateway/sensor-03/telemetry -> value=1012.37 rssi=-95 fcnt=489
[+] iot/gateway/sensor-01/telemetry -> value=22.7 rssi=-66 fcnt=490
[+] iot/gateway/sensor-02/telemetry -> value=54.66 rssi=-61 fcnt=490
[+] iot/gateway/sensor-03/telemetry -> value=1012.56 rssi=-75 fcnt=490
[+] iot/gateway/sensor-01/telemetry -> value=23.62 rssi=-60 fcnt=491
[+] iot/gateway/sensor-02/telemetry -> value=52.77 rssi=-60 fcnt=491
[+] iot/gateway/sensor-03/telemetry -> value=1012.45 rssi=-78 fcnt=491
[+] iot/gateway/sensor-01/telemetry -> value=21.09 rssi=-88 fcnt=492
[+] iot/gateway/sensor-02/telemetry -> value=52.49 rssi=-73 fcnt=492
[+] iot/gateway/sensor-03/telemetry -> value=1011.4 rssi=-79 fcnt=492
[+] iot/gateway/sensor-01/telemetry -> value=22.73 rssi=-73 fcnt=493
[+] iot/gateway/sensor-02/telemetry -> value=57.55 rssi=-86 fcnt=493
[+] iot/gateway/sensor-03/telemetry -> value=1013.7 rssi=-66 fcnt=493
[+] iot/gateway/sensor-01/telemetry -> value=22.41 rssi=-63 fcnt=494
[+] iot/gateway/sensor-02/telemetry -> value=57.27 rssi=-87 fcnt=494
[+] iot/gateway/sensor-03/telemetry -> value=1015.98 rssi=-66 fcnt=494
[+] iot/gateway/sensor-01/telemetry -> value=20.74 rssi=-74 fcnt=495
[+] iot/gateway/sensor-02/telemetry -> value=54.97 rssi=-82 fcnt=495
[+] iot/gateway/sensor-03/telemetry -> value=1013.13 rssi=-66 fcnt=495
[+] iot/gateway/sensor-01/telemetry -> value=22.31 rssi=-83 fcnt=496
[+] iot/gateway/sensor-02/telemetry -> value=56.77 rssi=-64 fcnt=496
[+] iot/gateway/sensor-03/telemetry -> value=1015.65 rssi=-85 fcnt=496
[+] iot/gateway/sensor-01/telemetry -> value=20.95 rssi=-77 fcnt=497
[+] iot/gateway/sensor-02/telemetry -> value=50.1 rssi=-89 fcnt=497
[+] iot/gateway/sensor-03/telemetry -> value=1013.49 rssi=-85 fcnt=497
[+] iot/gateway/sensor-01/telemetry -> value=22.38 rssi=-85 fcnt=498
[+] iot/gateway/sensor-02/telemetry -> value=50.75 rssi=-73 fcnt=498
[+] iot/gateway/sensor-03/telemetry -> value=1013.97 rssi=-91 fcnt=498
[+] iot/gateway/sensor-01/telemetry -> value=23.54 rssi=-94 fcnt=499
[+] iot/gateway/sensor-02/telemetry -> value=56.82 rssi=-73 fcnt=499
[+] iot/gateway/sensor-03/telemetry -> value=1008.51 rssi=-80 fcnt=499
[+] iot/gateway/sensor-01/telemetry -> value=22.79 rssi=-90 fcnt=500
[+] iot/gateway/sensor-02/telemetry -> value=53.32 rssi=-87 fcnt=500
[+] iot/gateway/sensor-03/telemetry -> value=1011.06 rssi=-69 fcnt=500
[+] iot/gateway/sensor-01/telemetry -> value=22.48 rssi=-63 fcnt=501
[+] iot/gateway/sensor-02/telemetry -> value=53.64 rssi=-65 fcnt=501
[+] iot/gateway/sensor-03/telemetry -> value=1012.74 rssi=-61 fcnt=501
[+] iot/gateway/sensor-01/telemetry -> value=22.1 rssi=-93 fcnt=502
[+] iot/gateway/sensor-02/telemetry -> value=53.81 rssi=-83 fcnt=502
[+] iot/gateway/sensor-03/telemetry -> value=1011.85 rssi=-61 fcnt=502
[+] iot/gateway/sensor-01/telemetry -> value=23.17 rssi=-87 fcnt=503
[+] iot/gateway/sensor-02/telemetry -> value=53.07 rssi=-60 fcnt=503
[+] iot/gateway/sensor-03/telemetry -> value=1013.87 rssi=-82 fcnt=503
[+] iot/gateway/sensor-01/telemetry -> value=23.84 rssi=-71 fcnt=504
[+] iot/gateway/sensor-02/telemetry -> value=58.07 rssi=-80 fcnt=504
[+] iot/gateway/sensor-03/telemetry -> value=1009.87 rssi=-67 fcnt=504
[+] iot/gateway/sensor-01/telemetry -> value=22.8 rssi=-68 fcnt=505
[+] iot/gateway/sensor-02/telemetry -> value=58.58 rssi=-62 fcnt=505
[+] iot/gateway/sensor-03/telemetry -> value=1014.29 rssi=-93 fcnt=505
[+] iot/gateway/sensor-01/telemetry -> value=21.29 rssi=-85 fcnt=506
[+] iot/gateway/sensor-02/telemetry -> value=58.29 rssi=-77 fcnt=506
[+] iot/gateway/sensor-03/telemetry -> value=1010.01 rssi=-62 fcnt=506
[+] iot/gateway/sensor-01/telemetry -> value=22.0 rssi=-84 fcnt=507
[+] iot/gateway/sensor-02/telemetry -> value=62.62 rssi=-65 fcnt=507
[+] iot/gateway/sensor-03/telemetry -> value=1010.73 rssi=-90 fcnt=507
[+] iot/gateway/sensor-01/telemetry -> value=22.06 rssi=-79 fcnt=508
[+] iot/gateway/sensor-02/telemetry -> value=57.88 rssi=-80 fcnt=508
[+] iot/gateway/sensor-03/telemetry -> value=1016.27 rssi=-61 fcnt=508
[+] iot/gateway/sensor-01/telemetry -> value=23.59 rssi=-83 fcnt=509
[+] iot/gateway/sensor-02/telemetry -> value=50.77 rssi=-72 fcnt=509
[+] iot/gateway/sensor-03/telemetry -> value=1013.28 rssi=-90 fcnt=509
[+] iot/gateway/sensor-01/telemetry -> value=25.12 rssi=-80 fcnt=510
[+] iot/gateway/sensor-02/telemetry -> value=54.78 rssi=-88 fcnt=510
[+] iot/gateway/sensor-03/telemetry -> value=1014.56 rssi=-81 fcnt=510
[+] iot/gateway/sensor-01/telemetry -> value=23.83 rssi=-80 fcnt=511
[+] iot/gateway/sensor-02/telemetry -> value=52.97 rssi=-79 fcnt=511
[+] iot/gateway/sensor-03/telemetry -> value=1011.67 rssi=-63 fcnt=511
[+] iot/gateway/sensor-01/telemetry -> value=23.98 rssi=-95 fcnt=512
[+] iot/gateway/sensor-02/telemetry -> value=57.59 rssi=-72 fcnt=512
[+] iot/gateway/sensor-03/telemetry -> value=1014.67 rssi=-65 fcnt=512
[+] iot/gateway/sensor-01/telemetry -> value=24.58 rssi=-92 fcnt=513
[+] iot/gateway/sensor-02/telemetry -> value=54.86 rssi=-75 fcnt=513
[+] iot/gateway/sensor-03/telemetry -> value=1011.53 rssi=-80 fcnt=513
[+] iot/gateway/sensor-01/telemetry -> value=22.37 rssi=-76 fcnt=514
[+] iot/gateway/sensor-02/telemetry -> value=51.8 rssi=-84 fcnt=514
[+] iot/gateway/sensor-03/telemetry -> value=1015.7 rssi=-90 fcnt=514
[+] iot/gateway/sensor-01/telemetry -> value=20.45 rssi=-88 fcnt=515
[+] iot/gateway/sensor-02/telemetry -> value=54.31 rssi=-72 fcnt=515
[+] iot/gateway/sensor-03/telemetry -> value=1012.29 rssi=-75 fcnt=515
[+] iot/gateway/sensor-01/telemetry -> value=22.48 rssi=-75 fcnt=516
[+] iot/gateway/sensor-02/telemetry -> value=58.52 rssi=-60 fcnt=516
[+] iot/gateway/sensor-03/telemetry -> value=1012.78 rssi=-85 fcnt=516
[+] iot/gateway/sensor-01/telemetry -> value=24.6 rssi=-65 fcnt=517
[+] iot/gateway/sensor-02/telemetry -> value=55.27 rssi=-72 fcnt=517
[+] iot/gateway/sensor-03/telemetry -> value=1012.03 rssi=-90 fcnt=517
[+] iot/gateway/sensor-01/telemetry -> value=23.22 rssi=-69 fcnt=518
[+] iot/gateway/sensor-02/telemetry -> value=53.88 rssi=-95 fcnt=518
[+] iot/gateway/sensor-03/telemetry -> value=1017.97 rssi=-87 fcnt=518
[+] iot/gateway/sensor-01/telemetry -> value=23.38 rssi=-74 fcnt=519
[+] iot/gateway/sensor-02/telemetry -> value=55.77 rssi=-60 fcnt=519
[+] iot/gateway/sensor-03/telemetry -> value=1011.84 rssi=-74 fcnt=519
[+] iot/gateway/sensor-01/telemetry -> value=24.76 rssi=-81 fcnt=520
[+] iot/gateway/sensor-02/telemetry -> value=55.19 rssi=-95 fcnt=520
[+] iot/gateway/sensor-03/telemetry -> value=1014.89 rssi=-65 fcnt=520
[+] iot/gateway/sensor-01/telemetry -> value=23.94 rssi=-84 fcnt=521
[+] iot/gateway/sensor-02/telemetry -> value=56.77 rssi=-74 fcnt=521
[+] iot/gateway/sensor-03/telemetry -> value=1012.66 rssi=-86 fcnt=521
[+] iot/gateway/sensor-01/telemetry -> value=22.65 rssi=-73 fcnt=522
[+] iot/gateway/sensor-02/telemetry -> value=55.73 rssi=-68 fcnt=522
[+] iot/gateway/sensor-03/telemetry -> value=1009.92 rssi=-63 fcnt=522
[+] iot/gateway/sensor-01/telemetry -> value=23.43 rssi=-61 fcnt=523
[+] iot/gateway/sensor-02/telemetry -> value=53.54 rssi=-73 fcnt=523
[+] iot/gateway/sensor-03/telemetry -> value=1015.02 rssi=-81 fcnt=523
[+] iot/gateway/sensor-01/telemetry -> value=24.79 rssi=-75 fcnt=524
[+] iot/gateway/sensor-02/telemetry -> value=60.27 rssi=-95 fcnt=524
[+] iot/gateway/sensor-03/telemetry -> value=1013.47 rssi=-95 fcnt=524
[+] iot/gateway/sensor-01/telemetry -> value=23.28 rssi=-73 fcnt=525
[+] iot/gateway/sensor-02/telemetry -> value=59.03 rssi=-94 fcnt=525
[+] iot/gateway/sensor-03/telemetry -> value=1010.64 rssi=-66 fcnt=525
[+] iot/gateway/sensor-01/telemetry -> value=21.44 rssi=-89 fcnt=526
[+] iot/gateway/sensor-02/telemetry -> value=53.48 rssi=-73 fcnt=526
[+] iot/gateway/sensor-03/telemetry -> value=1013.83 rssi=-66 fcnt=526
[+] iot/gateway/sensor-01/telemetry -> value=23.01 rssi=-70 fcnt=527
[+] iot/gateway/sensor-02/telemetry -> value=54.2 rssi=-80 fcnt=527
[+] iot/gateway/sensor-03/telemetry -> value=1014.86 rssi=-73 fcnt=527
[+] iot/gateway/sensor-01/telemetry -> value=22.72 rssi=-84 fcnt=528
[+] iot/gateway/sensor-02/telemetry -> value=48.81 rssi=-63 fcnt=528
[+] iot/gateway/sensor-03/telemetry -> value=1012.58 rssi=-93 fcnt=528
[+] iot/gateway/sensor-01/telemetry -> value=21.54 rssi=-82 fcnt=529
[+] iot/gateway/sensor-02/telemetry -> value=49.83 rssi=-73 fcnt=529
[+] iot/gateway/sensor-03/telemetry -> value=1014.94 rssi=-95 fcnt=529
[+] iot/gateway/sensor-01/telemetry -> value=21.38 rssi=-79 fcnt=530
[+] iot/gateway/sensor-02/telemetry -> value=56.57 rssi=-95 fcnt=530
[+] iot/gateway/sensor-03/telemetry -> value=1009.82 rssi=-86 fcnt=530
[+] iot/gateway/sensor-01/telemetry -> value=23.23 rssi=-82 fcnt=531
[+] iot/gateway/sensor-02/telemetry -> value=51.15 rssi=-71 fcnt=531
[+] iot/gateway/sensor-03/telemetry -> value=1013.65 rssi=-77 fcnt=531
[+] iot/gateway/sensor-01/telemetry -> value=22.6 rssi=-79 fcnt=532
[+] iot/gateway/sensor-02/telemetry -> value=57.35 rssi=-68 fcnt=532
[+] iot/gateway/sensor-03/telemetry -> value=1012.46 rssi=-71 fcnt=532
[+] iot/gateway/sensor-01/telemetry -> value=23.88 rssi=-83 fcnt=533
[+] iot/gateway/sensor-02/telemetry -> value=57.6 rssi=-61 fcnt=533
[+] iot/gateway/sensor-03/telemetry -> value=1013.46 rssi=-66 fcnt=533
[+] iot/gateway/sensor-01/telemetry -> value=22.71 rssi=-95 fcnt=534
[+] iot/gateway/sensor-02/telemetry -> value=59.37 rssi=-89 fcnt=534
[+] iot/gateway/sensor-03/telemetry -> value=1016.37 rssi=-73 fcnt=534
[+] iot/gateway/sensor-01/telemetry -> value=21.51 rssi=-62 fcnt=535
[+] iot/gateway/sensor-02/telemetry -> value=58.35 rssi=-84 fcnt=535
[+] iot/gateway/sensor-03/telemetry -> value=1014.71 rssi=-83 fcnt=535
[+] iot/gateway/sensor-01/telemetry -> value=23.95 rssi=-88 fcnt=536
[+] iot/gateway/sensor-02/telemetry -> value=55.88 rssi=-79 fcnt=536
[+] iot/gateway/sensor-03/telemetry -> value=1013.49 rssi=-66 fcnt=536
[+] iot/gateway/sensor-01/telemetry -> value=20.9 rssi=-87 fcnt=537
[+] iot/gateway/sensor-02/telemetry -> value=50.59 rssi=-75 fcnt=537
[+] iot/gateway/sensor-03/telemetry -> value=1013.56 rssi=-81 fcnt=537
[+] iot/gateway/sensor-01/telemetry -> value=21.96 rssi=-63 fcnt=538
[+] iot/gateway/sensor-02/telemetry -> value=55.39 rssi=-63 fcnt=538
[+] iot/gateway/sensor-03/telemetry -> value=1011.76 rssi=-91 fcnt=538
[+] iot/gateway/sensor-01/telemetry -> value=22.11 rssi=-68 fcnt=539
[+] iot/gateway/sensor-02/telemetry -> value=51.74 rssi=-85 fcnt=539
[+] iot/gateway/sensor-03/telemetry -> value=1016.05 rssi=-89 fcnt=539
[+] iot/gateway/sensor-01/telemetry -> value=20.66 rssi=-70 fcnt=540
[+] iot/gateway/sensor-02/telemetry -> value=60.08 rssi=-90 fcnt=540
[+] iot/gateway/sensor-03/telemetry -> value=1012.19 rssi=-76 fcnt=540
[+] iot/gateway/sensor-01/telemetry -> value=20.55 rssi=-79 fcnt=541
[+] iot/gateway/sensor-02/telemetry -> value=54.64 rssi=-87 fcnt=541
[+] iot/gateway/sensor-03/telemetry -> value=1014.71 rssi=-63 fcnt=541
[+] iot/gateway/sensor-01/telemetry -> value=23.71 rssi=-66 fcnt=542
[+] iot/gateway/sensor-02/telemetry -> value=60.37 rssi=-64 fcnt=542
[+] iot/gateway/sensor-03/telemetry -> value=1013.12 rssi=-71 fcnt=542
[+] iot/gateway/sensor-01/telemetry -> value=20.33 rssi=-83 fcnt=543
[+] iot/gateway/sensor-02/telemetry -> value=51.87 rssi=-78 fcnt=543
[+] iot/gateway/sensor-03/telemetry -> value=1012.33 rssi=-71 fcnt=543
[+] iot/gateway/sensor-01/telemetry -> value=21.67 rssi=-87 fcnt=544
[+] iot/gateway/sensor-02/telemetry -> value=53.52 rssi=-78 fcnt=544
[+] iot/gateway/sensor-03/telemetry -> value=1010.51 rssi=-86 fcnt=544
[+] iot/gateway/sensor-01/telemetry -> value=22.88 rssi=-68 fcnt=545
[+] iot/gateway/sensor-02/telemetry -> value=56.88 rssi=-74 fcnt=545
[+] iot/gateway/sensor-03/telemetry -> value=1014.95 rssi=-64 fcnt=545
[+] iot/gateway/sensor-01/telemetry -> value=22.4 rssi=-75 fcnt=546
[+] iot/gateway/sensor-02/telemetry -> value=57.69 rssi=-73 fcnt=546
[+] iot/gateway/sensor-03/telemetry -> value=1014.21 rssi=-63 fcnt=546
[+] iot/gateway/sensor-01/telemetry -> value=23.37 rssi=-77 fcnt=547
[+] iot/gateway/sensor-02/telemetry -> value=54.9 rssi=-74 fcnt=547
[+] iot/gateway/sensor-03/telemetry -> value=1013.59 rssi=-78 fcnt=547
[+] iot/gateway/sensor-01/telemetry -> value=23.62 rssi=-69 fcnt=548
[+] iot/gateway/sensor-02/telemetry -> value=50.12 rssi=-69 fcnt=548
[+] iot/gateway/sensor-03/telemetry -> value=1016.0 rssi=-67 fcnt=548
